seq,t,dt,source,eventType,accelX,accelY,accelZ,accelGX,accelGY,accelGZ,rotAlpha,rotBeta,rotGamma,orientAlpha,orientBeta,orientGamma,absolute,interval,label
56,1780973631478,1842.199999999255,phone,sample,-2.9000000000000004,-3,-0.1,-2.5,-2.8000000000000003,9.700000000000001,-23.2,-35.4,1.6,116.60000000000001,0.7000000000000001,-3.1,False,16,
57,1780973631543,1906.800000000745,phone,sample,-0.9,-1.6,0.7000000000000001,-0.2,-2,10.5,-44.9,-33.300000000000004,131.29999999999998,120.60000000000001,-2.1,-4.3,False,16,
58,1780973631511,1874.5,phone,sample,-1.1,-2.8000000000000003,0.8,-0.4,-2.8000000000000003,10.600000000000001,-48.300000000000004,-31,94.5,118.9,-1.1,-3.9000000000000004,False,16,
59,1780973631576,1939.800000000745,phone,sample,0.1,-0.2,-0.30000000000000004,1,-0.9,9.5,-36.9,-10.200000000000001,132.8,124.7,-4,-5,False,16,
60,1780973631609,1973.199999999255,phone,sample,2.6,1.2000000000000002,1.3,3.4000000000000004,0.30000000000000004,11,8.700000000000001,-23.900000000000006,92.90000000000002,128.70000000000002,-5.300000000000001,-5,False,16,
61,1780973631642,2006.300000000745,phone,sample,5,3.5,0.1,6,2.6,9.8,57.400000000000006,-13.700000000000001,-22.6,131.3,-5,-5.6000000000000005,False,16,
62,1780973631676,2039.800000000745,phone,sample,2.5,2.1,-1.1,3.5,1.9000000000000001,8.700000000000001,63.900000000000006,15.5,-132.4,128.4,-1.6,-6,False,16,
63,1780973631709,2073.10000000149,phone,sample,0.8,-0.2,-1.5,1.8,-0.1,8.200000000000001,40.6,21.1,-202.49999999999997,122.80000000000001,0.8,-5.800000000000001,False,16,
64,1780973631743,2106.300000000745,phone,sample,-1.4000000000000001,-2.4000000000000004,-0.6000000000000001,-0.7000000000000001,-2,9.200000000000001,-3.9,48.70000000000001,-207.90000000000003,115.9,2,-4.3,False,16,
65,1780973631776,2139.300000000745,phone,sample,-2.7,-3.5,1.5,-2.2,-3.2,11.3,-38.50000000000001,-34.60000000000001,-112.60000000000001,110.2,1.6,-3.4000000000000004,False,16,
66,1780973631809,2173.10000000149,phone,sample,-4.9,-2.4000000000000004,2.1,-4,-2.4000000000000004,11.9,-54,-58.800000000000004,90.4,108.9,0.1,-5.300000000000001,False,16,
67,1780973631843,2206.60000000149,phone,sample,-3.2,-2.6,0.9,-2.2,-2.9000000000000004,10.700000000000001,-22.3,12.100000000000001,220.20000000000002,113.4,-1.7000000000000002,-6.1000000000000005,False,16,
68,1780973631876,2239.89999999851,phone,sample,-0.7000000000000001,-1.8,-0.2,0.2,-2.3000000000000003,9.5,-4.300000000000001,-4.1,255.8,121,-3.1,-5.300000000000001,False,16,
69,1780973631909,2272.800000000745,phone,sample,3,0.7000000000000001,0.30000000000000004,3.8000000000000003,0,10.100000000000001,11.5,18.200000000000003,201.1,128.8,-4,-4.7,False,16,
70,1780973631943,2306.89999999851,phone,sample,5.2,3.5,-0.5,5.9,2.9000000000000004,9.3,46.800000000000004,3.7000000000000006,44.5,134,-3.6,-3.8000000000000003,False,16,
71,1780973631976,2339.699999999255,phone,sample,5.800000000000001,4,-0.7000000000000001,6.5,3.7,9.1,56,-3.7000000000000006,-99.5,135.1,-2.1,-3.9000000000000004,False,16,
72,1780973632009,2373.199999999255,phone,sample,1.8,2.6,-2.2,2.5,2.6,7.6000000000000005,32.300000000000004,42.1,-195.79999999999998,131.6,0.1,-4.2,False,16,
73,1780973632042,2406.10000000149,phone,sample,-0.4,-1.9000000000000001,0.8,0,-1.6,10.600000000000001,16.3,45.400000000000006,-239.7,121.60000000000001,2,-2,False,16,
74,1780973632077,2440.39999999851,phone,sample,-2.7,-4.3,1.2000000000000002,-2.6,-3.9000000000000004,11,-4.4,3.6000000000000005,-198.60000000000002,114.10000000000001,2.5,-0.9,False,16,
75,1780973632111,2474.300000000745,phone,sample,-7.4,-4.800000000000001,2.1,-7.2,-4.4,11.9,-18.3,-41.7,-83.10000000000001,109.5,2.1,-1.2000000000000002,False,16,
76,1780973632142,2506.199999999255,phone,sample,-4.2,-2.1,2.2,-3.4000000000000004,-1.9000000000000001,12,-15.6,-143.8,221.60000000000002,112.10000000000001,1.1,-4.6000000000000005,False,16,
77,1780973632176,2539.5,phone,sample,-0.5,-2.4000000000000004,-1.5,1,-2.4000000000000004,8.200000000000001,24.1,-111.6,297.6,120.5,0.1,-9,False,16,
78,1780973632211,2575.39999999851,phone,sample,4.4,0.5,-4.800000000000001,6.300000000000001,0.30000000000000004,4.800000000000001,-8.4,-28,220,132.4,-2,-11.8,False,16,
79,1780973632243,2607,phone,sample,8.3,3.7,-0.9,10.3,3.2,8.700000000000001,-50.8,4,36.8,134,-3.1,-11.5,False,16,
80,1780973632276,2639.5,phone,sample,3.3000000000000003,3.3000000000000003,0.30000000000000004,5.4,2.6,9.9,-28.1,-0.1,-111,133,-4.2,-12,False,16,
81,1780973632312,2675.300000000745,phone,sample,0.5,0.6000000000000001,0.7000000000000001,2.4000000000000004,0.1,10.3,38.2,86.4,-232.3,125.2,-2.7,-10.9,False,16,
82,1780973632344,2708,phone,sample,-0.8,-1.4000000000000001,2.2,0.9,-1.7000000000000002,11.9,49.4,88.60000000000001,-235.4,118.10000000000001,0,-8.3,False,16,
83,1780973632376,2739.39999999851,phone,sample,-2.1,-3.4000000000000004,0.9,-0.9,-3.2,10.600000000000001,38.50000000000001,25.8,-168.1,114.80000000000001,1.4000000000000001,-7.1000000000000005,False,16,
84,1780973632409,2772.800000000745,phone,sample,-4.5,-3.8000000000000003,0.2,-3.3000000000000003,-3.3000000000000003,9.9,-16.5,-58.3,3,110.2,2.7,-6.6000000000000005,False,16,
85,1780973632443,2806.89999999851,phone,sample,-2.5,-2.1,0.30000000000000004,-1.1,-1.8,10,-28.600000000000005,-18.900000000000002,155.8,110.9,1.9000000000000001,-8.200000000000001,False,16,
86,1780973632476,2839.800000000745,phone,sample,1.7000000000000002,-1.1,1.5,3.1,-1.3,11.200000000000001,-36.400000000000006,24.3,219.8,119.4,-1.3,-8,False,16,
87,1780973632509,2872.699999999255,phone,sample,2.3000000000000003,1.6,0.30000000000000004,3.5,1.2000000000000002,10,-7.500000000000001,22.700000000000003,176.10000000000002,125.60000000000001,-2.7,-7,False,16,
88,1780973632542,2906.10000000149,phone,sample,4.3,3.1,-0.7000000000000001,5.4,2.7,9,19,17.5,36.1,129.1,-2.7,-6.6000000000000005,False,16,
89,1780973632576,2939.39999999851,phone,sample,0,2.4000000000000004,-1.1,1,2,8.6,-1.8000000000000003,45.9,-46.7,128.8,-2,-5.800000000000001,False,16,
90,1780973632610,2973.89999999851,phone,sample,-0.4,0.6000000000000001,0.1,0.4,0.30000000000000004,9.9,-13.8,25.7,-51.50000000000001,127.2,-1.9000000000000001,-4.7,False,16,
91,1780973632643,3006.5,phone,sample,-1.9000000000000001,-0.5,0.6000000000000001,-1.1,-0.9,10.4,-36.1,-33.9,-24.3,125.7,-2.3000000000000003,-4.6000000000000005,False,16,
92,1780973632676,3039.60000000149,phone,sample,-1.2000000000000002,-1,2,-0.1,-1.5,11.700000000000001,-23,-91.8,6,125.30000000000001,-3.3000000000000003,-6.6000000000000005,False,16,
93,1780973632709,3073.10000000149,phone,sample,0.2,-0.5,0.8,1.8,-1.2000000000000002,10.4,-30.000000000000004,-72.50000000000001,15.6,125.60000000000001,-4.2,-9.200000000000001,False,16,
94,1780973632744,3108.199999999255,phone,sample,-0.1,0.1,0.5,2.1,-0.8,10,-9.5,-120.50000000000001,0,126,-5.5,-13.4,False,16,
95,1780973632776,3139.5,phone,sample,0.2,0.2,0.2,2.8000000000000003,-0.8,9.600000000000001,6.1000000000000005,-114.70000000000002,-13.399999999999999,126.10000000000001,-5.7,-15.3,False,16,
96,1780973632811,3174.800000000745,phone,sample,0.7000000000000001,0.1,-0.5,4.1000000000000005,-0.7000000000000001,8.700000000000001,19.700000000000003,-128.20000000000002,-7.200000000000001,125.80000000000001,-5,-20.700000000000003,False,16,
97,1780973632842,3206.199999999255,phone,sample,-0.4,0.2,0.5,3.8000000000000003,-0.5,9.3,26.1,-157,-17.799999999999997,125.7,-4.1000000000000005,-25.1,False,16,
98,1780973632878,3241.89999999851,phone,sample,-0.8,0.1,-0.8,4.1000000000000005,-0.4,7.7,24.5,-139.1,-17.300000000000004,125.60000000000001,-3.2,-29.8,False,16,
99,1780973632910,3274,phone,sample,0.4,0.30000000000000004,-0.30000000000000004,5.6000000000000005,-0.1,8,8.3,-38.1,-14.200000000000001,125.4,-2.6,-32.300000000000004,False,16,
100,1780973632942,3306.199999999255,phone,sample,0.1,0.1,-0.6000000000000001,5.4,-0.30000000000000004,7.7,-4.7,-3.7000000000000006,-16.6,125,-2.2,-32.5,False,16,
101,1780973632976,3339.300000000745,phone,sample,0.4,0,0.30000000000000004,5.7,-0.30000000000000004,8.6,-10.600000000000001,-23.6,-20.1,124.4,-2.1,-32.800000000000004,False,16,
102,1780973633009,3373.300000000745,phone,sample,-1.8,-0.30000000000000004,-0.1,3.7,-0.6000000000000001,8,-11.4,-49.199999999999996,-3.7000000000000006,123.7,-2,-33.7,False,16,
103,1780973633043,3406.699999999255,phone,sample,0.9,0.1,0.9,6.5,-0.30000000000000004,8.9,12.600000000000001,-70.6,6,123.80000000000001,-2.3000000000000003,-35.5,False,16,
104,1780973633076,3439.5,phone,sample,0.2,-0.30000000000000004,-0.4,6.2,-0.7000000000000001,7.4,11.3,-56.7,2.8,124.2,-2,-37.6,False,16,
105,1780973633109,3472.89999999851,phone,sample,0,0.5,-0.30000000000000004,6.2,0.2,7.300000000000001,-2.6,-64.2,5.4,124.4,-1.8,-39.300000000000004,False,16,
106,1780973633143,3506.699999999255,phone,sample,0,0.1,0.1,6.5,-0.30000000000000004,7.4,-2.4000000000000004,-68.7,4.9,124.5,-1.9000000000000001,-41.300000000000004,False,16,
107,1780973633179,3542.800000000745,phone,sample,0.2,0.1,0.2,7,-0.30000000000000004,7.2,-0.1,-57.400000000000006,0.2,124.60000000000001,-2.1,-44.2,False,16,
108,1780973633209,3572.89999999851,phone,sample,-0.6000000000000001,0.30000000000000004,0,6.4,0,6.800000000000001,2.3,-58.5,0.6000000000000001,124.60000000000001,-2,-45.900000000000006,False,16,
109,1780973633243,3607.10000000149,phone,sample,-0.30000000000000004,0.4,0.4,6.9,0,7.1000000000000005,0.4,-68.1,1.7,124.7,-2,-46.900000000000006,False,16,
110,1780973633275,3639.39999999851,phone,sample,0.7000000000000001,0.1,0.9,8.1,-0.30000000000000004,7.300000000000001,-2.5,-39.2,4.7,124.7,-2.1,-49.300000000000004,False,16,
111,1780973633309,3673.10000000149,phone,sample,0.30000000000000004,-0.1,0.30000000000000004,7.9,-0.4,6.6000000000000005,6.8,-34.2,-2.8,124.80000000000001,-1.9000000000000001,-50.400000000000006,False,16,
112,1780973633342,3706.300000000745,phone,sample,-0.4,0.1,-0.1,7.300000000000001,-0.2,6,11.1,-33.6,1.4,125,-1.6,-51.400000000000006,False,16,
113,1780973633376,3739.39999999851,phone,sample,0.30000000000000004,0,-0.6000000000000001,8.1,-0.30000000000000004,5.4,3.3000000000000007,-38.60000000000001,1.9,125.2,-1.5,-52.400000000000006,False,16,
114,1780973633409,3772.800000000745,phone,sample,0,-0.2,0.6000000000000001,7.9,-0.4,6.4,7.9,-44.00000000000001,-0.7,125.30000000000001,-1.5,-53.6,False,16,
115,1780973633442,3806.300000000745,phone,sample,0.5,0.1,0.4,8.5,-0.2,6,8.899999999999999,-69.60000000000001,-2.3,125.5,-1.4000000000000001,-55.1,False,16,
116,1780973633477,3840.39999999851,phone,sample,1,0,0.2,9.200000000000001,-0.2,5.5,6.600000000000001,-51.6,-6.500000000000001,125.7,-1.2000000000000002,-57.2,False,16,
117,1780973633509,3872.800000000745,phone,sample,0.4,0.30000000000000004,0,8.8,0.2,5,4.5,-55.5,-9,125.80000000000001,-0.9,-58.900000000000006,False,16,
118,1780973633542,3906,phone,sample,0.8,0.1,-0.2,9.3,0,4.6000000000000005,4.6,-49.699999999999996,-15.899999999999999,125.7,-0.5,-60.6,False,16,
119,1780973633576,3939.39999999851,phone,sample,-0.4,0.1,0.6000000000000001,8.3,0.1,5.2,1.9,-77.00000000000001,-11.8,125.60000000000001,0,-62,False,16,
120,1780973633609,3972.89999999851,phone,sample,0.30000000000000004,-0.1,-0.4,9.1,0,3.9000000000000004,11.6,-76.1,-3,125.5,0.4,-64.5,False,16,
121,1780973633643,4006.89999999851,phone,sample,0.30000000000000004,0.4,-0.8,9.5,0.30000000000000004,3.4000000000000004,-0.4,-24.400000000000002,-3.7000000000000006,125.7,0.6000000000000001,-66.5,False,16,
122,1780973633676,4039.39999999851,phone,sample,-0.1,0,1.1,9,0.1,4.800000000000001,9.3,-44.7,-5.6,125.80000000000001,0.8,-68,False,16,
123,1780973633709,4072.800000000745,phone,sample,0.2,0.30000000000000004,-0.6000000000000001,9.4,0.5,2.8000000000000003,7.300000000000001,-60.300000000000004,-3,126,1.1,-69.8,False,16,
124,1780973633742,4106.10000000149,phone,sample,0.2,0.1,-0.30000000000000004,9.5,0.30000000000000004,2.7,1.6,-61,0.4,126.10000000000001,1.1,-71.60000000000001,False,16,
125,1780973633776,4139.39999999851,phone,sample,-0.1,0.30000000000000004,0.1,9.3,0.5,2.9000000000000004,-5.500000000000001,-81.60000000000001,10.1,126.10000000000001,1,-73.8,False,16,
126,1780973633810,4173.800000000745,phone,sample,0.5,0.1,-0.8,10,0.30000000000000004,1.6,-10.4,-58,2.4000000000000004,126,0.8,-76.10000000000001,False,16,
127,1780973633843,4206.39999999851,phone,sample,0.1,0,0.4,9.700000000000001,0.1,2.5,-7.1000000000000005,-59.40000000000001,3.8,125.7,0.7000000000000001,-77.80000000000001,False,16,
128,1780973633876,4239.39999999851,phone,sample,-0.2,0,-0.30000000000000004,9.5,0.1,1.5,-11.8,-69.00000000000001,6.699999999999999,125.4,0.5,-79.80000000000001,False,16,
129,1780973633909,4272.5,phone,sample,-0.1,-0.2,-0.4,9.600000000000001,-0.2,1,-14,-44.00000000000001,11.6,125.10000000000001,0.2,-81.80000000000001,False,16,
130,1780973633943,4306.60000000149,phone,sample,0.4,-0.30000000000000004,0.1,10.200000000000001,-0.4,1.3,-9.100000000000001,-33.7,14.5,124.7,-0.30000000000000004,-83,False,16,
131,1780973633976,4339.60000000149,phone,sample,0.2,0,-0.5,10,-0.1,0.5,-4.9,-23.400000000000002,14.200000000000001,124.4,-0.8,-84,False,16,
132,1780973634009,4373.199999999255,phone,sample,-0.5,-0.1,-1.1,9.200000000000001,-0.4,-0.2,-3.3000000000000007,-8.5,9.5,124.30000000000001,-1.4000000000000001,-84.9,False,16,
133,1780973634042,4406.10000000149,phone,sample,-0.30000000000000004,-0.2,-0.6000000000000001,9.1,-0.6000000000000001,-0.30000000000000004,9.100000000000001,10.299999999999999,-4.1,124.30000000000001,-1.4000000000000001,-84.9,False,16,
134,1780973634076,4439.60000000149,phone,sample,-0.9,0.2,-0.9,8.8,0,0.1,4.9,47.3,-5.7,124.7,-1.2000000000000002,-83.80000000000001,False,16,
135,1780973634109,4472.699999999255,phone,sample,-0.30000000000000004,0.2,-0.6000000000000001,9.4,0,0.7000000000000001,-13.200000000000003,59.20000000000001,7,124.5,-1.3,-82.4,False,16,
136,1780973634142,4506,phone,sample,1,-0.30000000000000004,-0.7000000000000001,10.600000000000001,-0.6000000000000001,0.9,-14.600000000000001,87.2,3.1,124.2,-1.6,-80.30000000000001,False,16,
137,1780973634176,4539.5,phone,sample,0.1,0.5,-1,9.700000000000001,0.30000000000000004,1.2000000000000002,-12.9,107.8,-22.6,123.60000000000001,-1.4000000000000001,-77.4,False,16,
138,1780973634209,4572.800000000745,phone,sample,0.4,-1.3,-0.7000000000000001,9.8,-1.4000000000000001,2.1,15.6,196.6,-20.5,123.30000000000001,-0.8,-73.2,False,16,
139,1780973634244,4607.60000000149,phone,sample,-0.9,-0.30000000000000004,-0.30000000000000004,8.1,-0.30000000000000004,3.6,11.1,253.90000000000003,-6.1000000000000005,123.60000000000001,-0.1,-66.2,False,16,
140,1780973634276,4639.699999999255,phone,sample,-0.7000000000000001,0.5,-0.1,7.6000000000000005,0.5,5.1000000000000005,6.699999999999999,311.40000000000003,2.4000000000000004,123.7,0.1,-57.5,False,16,
141,1780973634309,4673.10000000149,phone,sample,-0.1,0.7000000000000001,1,7.1000000000000005,0.7000000000000001,7.6000000000000005,11.6,253.20000000000005,6.9,124.2,0.2,-47.7,False,16,
142,1780973634343,4707.10000000149,phone,sample,1.2000000000000002,-0.6000000000000001,2.1,7.5,-0.6000000000000001,9.600000000000001,32.2,206.4,1.5,124.60000000000001,0.4,-40.2,False,16,
143,1780973634442,4806,phone,sample,2.3000000000000003,0.4,0.6000000000000001,4.4,1.1,10.200000000000001,18.700000000000003,210.8,6.699999999999999,128,4.1000000000000005,-12.200000000000001,False,16,
144,1780973634410,4773.699999999255,phone,sample,0,0,1.4000000000000001,3.3000000000000003,0.6000000000000001,10.600000000000001,46.6,284.79999999999995,26.5,126.5,2.9000000000000004,-23.900000000000002,False,16,
145,1780973634476,4839.699999999255,phone,sample,0.1,0.9,-1,1.3,1.6,8.700000000000001,-10.4,160.3,0.6000000000000001,128.1,4.3,-7,False,16,
